ELCODE,SCOMNAME,SNAME,Responsibility,SeasonCode,CAT1_glbl_reg,CAT2_com_sp_com,CAT3_cons_rare_native,CAT4_datagaps,GRANK,SRANK,USESA,SPROT,PBSSTATUS,SENSITV_SP,Agency,Environment,TaxaGroup
IMBIV34020,Orange-foot Pimpleback,Plethobasus cooperianus,,y,1,6,2,6,G1,SH,LE,,PX,N,PFBC,a,IMBIV
IMBIV34030,Sheepnose,Plethobasus cyphyus,,y,2,6,2,3,G3,S1,LE,PT,PE,Y,PFBC,a,IMBIV
IMBIV35060,Clubshell,Pleurobema clava,y,y,1,5,3,6,G1G2,S2,LE,PE,PE,Y,PFBC,a,IMBIV
IMBIV35090,Ohio Pigtoe,Pleurobema cordatum,,y,5,6,2,6,G4,SH,,,PE,N,PFBC,a,IMBIV
IMBIV35240,Rough Pigtoe,Pleurobema plenum,,y,1,6,2,6,G1,SH,LE,,PX,N,PFBC,a,IMBIV
IMBIV35250,Pyramid Pigtoe,Pleurobema rubrum,,y,3,6,2,6,G2G3,SH,,,PX,N,PFBC,a,IMBIV
IMBIV35070,Round Pigtoe,Pleurobema sintoxia,,y,3,6,3,5,G4G5,S3S4,,,PE,N,PFBC,a,IMBIV
IMBIV39041,Rabbitsfoot,Quadrula cylindrica cylindrica,,y,2,6,2,3,G3G4T3,S1S2,LT,PE,,N,PFBC,a,IMBIV
IMBIV39080,Monkeyface,Quadrula metanevra,,y,5,6,2,6,G4,SH,,,PX,N,PFBC,a,IMBIV
IMBIV39110,Pimpleback,Quadrula pustulosa,,y,4,6,2,6,G5,S1,,,PX,N,PFBC,a,IMBIV
IMBIV39120,Mapleleaf,Quadrula quadrula,,y,6,4,4,6,G5,S3,,,PT,N,PFBC,a,IMBIV
IMBIV41010,Salamander Mussel,Simpsonaias ambigua,,y,2,6,2,6,G3,S1,,PE,PT,Y,PFBC,a,IMBIV
IMBIV43050,Lilliput,Toxolasma parvum,,y,6,6,3,5,G5,S1S2,,,PE,N,PFBC,a,IMBIV
IMBIV44010,Pistolgrip,Quadrula verrucosa,,y,3,6,2,6,G4G5,S1,,PE,PE,N,PFBC,a,IMBIV
IMBIV45020,Fawnsfoot,Truncilla donaciformis,,y,4,6,2,6,G5,S1,,,CU,N,PFBC,a,IMBIV
IMBIV45040,Deertoe,Truncilla truncata,,y,4,5,2,6,G5,S1,,,PX,N,PFBC,a,IMBIV
IMBIV47050,Rayed Bean,Villosa fabalis,y,y,1,5,2,3,G2,S1S2,LE,PE,PE,Y,PFBC,a,IMBIV
IMBIV47060,Rainbow,Villosa iris,,y,4,1,4,6,G5Q,S3,,,PE,N,PFBC,a,IMBIV
IMBIV02040,Elktoe,Alasmidonta marginata,,y,5,3,4,6,G4,S3S4,,,N,N,PFBC,a,IMBIV
IMBIV37070,Pink Papershell,Potamilus ohiensis,,y,6,6,2,6,G5,S1,,,,N,PFBC,a,IMBIV
IICOL03010,Black-headed Ash Sawfly,Tethida barda,,y,,6,2,6,GNR,SH,,,,N,,a,inv_sawfly
IMGASF4060,A Freshwater Snail,Amnicola decisus,y,y,3,5,2,6,G1Q,SNR,,,,N,PFBC,a,inv_snailf
IMGASG5040,Watercress Snail,Fontigens nickliniana,,y,4,6,3,6,G5,S1S2,,,,N,PFBC,a,inv_snailf
IMGASG5050,Blue Ridge Springsnail,Fontigens orolibas,,y,2,6,2,2,G3,S1,,,,N,PFBC,a,inv_snailf
IMGASJ2210,Shale Pebblesnail,Somatogyrus pennsylvanicus,,y,4,6,3,4,G3,S1S3,,,,N,PFBC,a,inv_snailf
IMGASF4060,Moss Bladder Snail,Aplexa hypnorum,,y,6,4,4,6,G1Q,SNR,,,,N,PFBC,a,inv_snailf
IMGASM5030,Flexed Gyro,Gyraulus deflectus,,y,6,4,4,5,G5,S5,,,,N,PFBC,a,inv_snailf
IMGASN1010,Sharp Sprite,Promenetus exacuous,,y,6,4,4,5,G5,SNR,,,,N,PFBC,a,inv_snailf
IMGASE5080,Three-ridge Valvata,Valvata tricarinata,,y,6,6,2,2,G5,SNR,,,,N,PFBC,a,inv_snailf
IMGASJ0920,Boreal Marstonia,Marstonia lustrica,,y,6,4,4,5,G5,SNR,,,,N,PFBC,a,inv_snailf
IMGAS20290,Sprite Elimia,Pleurocera proxima,,y,4,5,2,2,G5,S2S3,,,,N,PFBC,a,inv_snailf
IMGASH3030,Henscomb Hydrobe,Littoridinops tenuipes,,y,6,6,2,2,,,,,,,PFBC,a,inv_snailf
IMGASL9030,Vernal Physa,Physa vernalis,,y,4,6,3,4,G3,SNR,,,,N,PFBC,a,inv_snailf
IMGASF7010,Globe Siltsnail,Birgella subglobosa,,y,5,6,3,4,G4,SNR,,,,N,PFBC,a,inv_snailf
IMGASL2020,Great Pondsnail,Lymnaea stagnalis,,y,6,6,2,2,G5,SNR,,,,N,PFBC,a,inv_snailf
IMGAS76010,Woodland Pondsnail,Lymnaea catascopium,,y,6,6,3,4,G5,S3,,,,N,PFBC,a,inv_snailf
IMGASJ2170,Ohio Pebblesnail,Somatogyrus integra,,y,4,6,3,4,G3,S2S4,,,,N,PFBC,a,inv_snailf
IMGAS07050,File Thorn,Carychium nannodes,,y,6,6,2,6,G5,S1,,,,N,,t,inv_snailt
IMGASJ9060,Slender Walker,Pomatiopsis lapidaria,,y,6,6,3,6,G5,S1S3,,,,N,,t,inv_snailt
IMGAS03010,Cherrystone Drop,Hendersonia occulta,,y,5,6,3,6,G4,S2,,,,N,,t,inv_snailt
IMGAS53030,Coastal Plain Disc,Anguispira fergusoni,,y,5,6,2,6,G4,S2,,,,N,,t,inv_snailt
IMGAS53070,Banded Globe,Anguispira kochi,,y,6,4,4,6,G5,S2,,,,N,,t,inv_snailt
IMGAS70030,Toothed Hive,Euconulus dentatus,,y,6,6,2,6,G5,S1,,,,N,,t,inv_snailt
IMGAS70020,Brown Hive,Euconulus fulvus,,y,6,4,4,6,G5,S3S4,,,,N,,t,inv_snailt
IMGAS63100,Severed Mantleslug,Pallifera secreta,,y,5,6,3,6,G4,SU,,,,N,,t,inv_snailt
IMGAS91020,Broad-banded Forestsnail,Allogona profunda,,y,6,6,3,6,G5,S2S3,,,,N,,t,inv_snailt
IMGASA1160,Baffled Three-tooth,Triodopsis fraudulenta,,y,5,4,4,6,G4,S3S4,,,,N,,t,inv_snailt
IMGASA1390,Dished Three-tooth,Triodopsis vulgata,,y,6,4,4,6,G5,S2S3,,,,N,,t,inv_snailt
IMGASA1250,Striped Whitelip,Webbhelix multilineata,,y,6,6,2,6,G5,S1S2,,,,N,,t,inv_snailt
IMGAS15060,Bark Snaggletooth,Gastrocopta corticaria,,y,6,4,4,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS20080,Delicate Vertigo,Vertigo bollesiana,,y,5,4,4,6,G4,S2,,,,N,,t,inv_snailt
IMGAS20200,Blade Vertigo,Vertigo milium,,y,6,6,2,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS20250,Ovate Vertigo,Vertigo ovata,,y,6,6,3,6,G5,S3S4,,,,N,,t,inv_snailt
IMGAS20290,Pygmy Vertigo,Vertigo pygmaea,,y,6,4,4,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS20330,Honey Vertigo,Vertigo tridentata,,y,6,4,4,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS20340,Five-tooth Vertigo,Vertigo ventricosa,,y,6,4,4,6,G5,S2,,,,N,,t,inv_snailt
IMGAS86040,Eastern Glass-snail,Vitrina angelicae,,y,6,6,3,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS72020,Brown Bellytooth,Gastrodonta interna,,y,6,6,2,6,G5,S1,,,,N,,t,inv_snailt
IMGAS73160,Maryland Glyph,Glyphyalinia raderi,,y,3,6,3,6,G2,S1S2,,,,N,,t,inv_snailt
IMGAS76010,Blue Glass Snail,Nesovitrea binneyana,,y,6,6,3,6,G5,S3,,,,N,,t,inv_snailt
IMGAS82200,Split-tooth Dome,Ventridens virginicus,,y,5,4,4,6,G4,S2S3,,,,N,,t,inv_snailt
IMGAS07020,Obese Thorn,Carychium exiguum,,y,6,4,4,6,G5,S3S4,,,,N,,t,inv_snailt
IMGAS53010,Flamed Tigersnail,Anguispira alternata,,y,6,4,4,6,G5,S3S4,,,,N,,t,inv_snailt
IMGAS54030,Angular Disc,Discus catskillensis,,y,6,4,4,6,G5,S4,,,,N,,t,inv_snailt
IMGAS54090,Domed Disc,Discus patulus,,y,6,4,4,6,G5,S3,,,,N,,t,inv_snailt
IMGAS87040,Meadow Slug,Deroceras laeve,,y,6,4,4,6,G5,S5,,,,N,,t,inv_snailt
IMGASQ0010,Changeable Mantleslug,Megapallifera mutabilis,,y,6,4,4,6,G5,S4,,,,N,,t,inv_snailt
IMGAS95320,Spike-lip Crater,Appalachina sayana,,y,6,6,3,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS94050,Lowland Pill Snail,Euchemotrema leai,,y,6,6,3,6,G5,S4,,,,N,,t,inv_snailt
IMGAS95380,Toothed Globe,Mesodon zaletus,,y,6,4,4,6,G5,S4S5,,,,N,,t,inv_snailt
IMGAS95260,Proud Globelet,Patera pennsylvanica,,y,5,6,3,6,G4,S1S2,,,,N,,t,inv_snailt
IMGAS98030,Bristled Slitmouth,Stenotrema barbatum,,y,6,4,4,6,G5,S3S4,,,,N,,t,inv_snailt
IMGASA1200,Atlantic Threetooth,Triodopsis juxtidens,,y,6,6,2,6,G5,SNR,,,,N,,t,inv_snailt
IMGAS15010,Armed Snaggletooth,Gastrocopta armifera,,y,6,4,4,6,G5,S4,,,,N,,t,inv_snailt
IMGAS15190,White Snaggletooth,Gastrocopta tappaniana,,y,6,6,2,6,G5,S2S3,,,,N,,t,inv_snailt
IMGAS16010,White-lip Dagger,Pupoides albilabris,,y,6,6,3,6,G5,S3,,,,N,,t,inv_snailt
IMGAS24040,Maze Pinecone,Strobilops labyrinthicus,,y,6,4,4,6,G5,S4S5,,,,N,,t,inv_snailt
IMGAS24050,Southern Pinecone,Strobilops texasianus,,y,6,4,4,6,G5,SNR,,,,N,,t,inv_snailt
IMGAS85060,Black Gloss,Zonitoides nitidus,,y,6,4,4,6,G5,S4,,,,N,,t,inv_snailt
IMGAS13040,Toothless Column Snail,Columella columella,,y,6,6,2,6,,,,,,,,t,inv_snailt
IMGAS63030,Foster Mantleslug,Pallifera fosteri,,y,6,4,4,6,G5,SNR,,,,N,,t,inv_snailt
IMGAS63070,Redfoot Mantleslug,Pallifera ohioensis,,y,6,4,4,6,,,,,,,,t,inv_snailt
IMGAS63110,Variable Mantleslug,Pallifera varia,,y,4,4,4,6,,,,,,,,t,inv_snailt
IMGAS17030,Moss Chrysalis Snail,Pupilla muscorum,,y,6,6,2,6,G5,S1S2,,,,N,,t,inv_snailt
IMGAS20450,Crested Vertigo,Vertigo cristata,,y,6,4,4,6,,,,,,,,t,inv_snailt
ILARA46010,Weyer's Sheetweb Cave Spider,Bathyphantes weyeri,,y,5,6,2,3,G4,SNR,,,,N,,t,ILARA
IMGAS63030,A Ghost Spider,Arachosia cubana,,y,,6,2,3,G5,SNR,,,,N,,t,ILARA
ILARA75010,A Striped Orbweaver,Singa eugeni,,y,,6,3,4,GNR,SNR,,N,,N,,t,ILARA
ILARA28010,Subterranean Sheetweb Spider,Phanetta subterranea,,y,6,6,2,3,G5,SNR,,,,N,,t,ILARA
ILARA21010,Appalachian Cave Spider,Porrhomma cavernicola,,y,6,6,2,3,G5,SNR,,,,N,,t,ILARA
ILARA76010,Beach Wolf Spider,Arctosa littoralis,,y,,6,2,3,GNR,SNR,,N,,N,,t,ILARA
ILARA10030,Beatty's Sheetweb Cave Spider,Oreonetides beattyi,,y,,6,2,3,,,,,,,,t,ILARA
ILARA46010,Wright's Burrowing Wolf Spider,Geolycosa wrighti,,y,,6,2,3,G4,SNR,,,,N,,t,ILARA
ILARA28010,Turret Spider,Geolycosa turricola,,y,,6,2,3,G5,SNR,,,,N,,t,ILARA
IZSPN05010,Pennsylvania Sponge,Heteromeyenia longistylus,,y,3,6,2,2,G1G3,SNA,,,,N,,a,IZSPN
IICLL20020,Heller Cave Springtail,Typhlogastrura helleri,,y,,6,2,6,GNR,S1,,,,N,,a,IICLL
IIPLE01310,Spatulate Snowfly,Allocapnia simmonsi,,y,4,6,3,6,G2,S2,,,,N,PFBC,a,IIPLE
IIPLE11030,Aracoma Sallfly,Alloperla aracoma,,y,4,4,4,6,G3,S3,,,,N,PFBC,a,IIPLE
IIPLE11290,Scotia Sallfly,Alloperla vostoki,,y,4,6,3,6,G3,S3,,,,N,PFBC,a,IIPLE
IIPLE1D010,Gaspe Sallfly,Utaperla gaspesiana,,y,4,4,4,6,G3,S2,,,,N,PFBC,a,IIPLE
IIPLE0G020,Shenandoah Needlefly,Megaleuctra flinti,,y,3,6,2,6,G2,S2,,,,N,PFBC,a,IIPLE
IIPLE0M050,Bent Forestfly,Ostrocerca prolongata,,y,4,6,2,6,G3,S2,,,,N,PFBC,a,IIPLE
IIPLE0S090,Powdermill ForestflyR,Soyedina merritti,,y,3,5,2,6,G2,S2,,,,N,PFBC,a,IIPLE
IIPLE1L030,Elegant Stone,Acroneuria arida,,y,4,6,2,6,G3,SU,,,,N,PFBC,a,IIPLE
IIPLE1S010,Appalachian Stone,Hansonoperla appalachia,,y,4,4,4,6,G3,S2,,,,N,PFBC,a,IIPLE
IIPLE11050,Dusky Sallfly,Alloperla biserrata,,y,4,6,3,6,G3,S3,,,,N,PFBC,a,IIPLE
IIPLE11310,Duckhead Sallfly,Alloperla concolor,,y,6,6,3,6,G5,S3,,,,N,PFBC,a,IIPLE
IIPLE11140,Vernal Sallfly,Alloperla idei,,y,4,6,3,6,G3,S3,,,,N,PFBC,a,IIPLE
IIPLE19320,Shenandoah Sallfly,Sweltsa palearata,,y,3,4,4,6,G2G3,S2,,,,N,PFBC,a,IIPLE
IIPLE0B250,Variable Needlefly,Leuctra variabilis,,y,5,4,4,6,G4,S3,,,,N,PFBC,a,IIPLE
IIPLE0L050,Three-spined Forestfly,Nemoura trispinosa,,y,6,6,3,6,G5,S3,,,,N,PFBC,a,IIPLE
IIPLE01100,Stonyfork Snowfly,Allocapnia harperi,,y,5,6,3,6,G4,S3,,,,N,PFBC,a,IIPLE
IIPLE1L020,Eastern Stone,Acroneuria arenosa,,y,6,6,3,6,G5,S3S4,,,,N,PFBC,a,IIPLE
IIPLE1L100,Lobed Stone,Acroneuria internata,,y,5,6,2,6,G4,SH,,,,N,PFBC,a,IIPLE
IIPLE1M010,Giant Stone,Attaneuria ruralis,,y,5,6,2,6,G4,SH,,,,N,PFBC,a,IIPLE
IIPLE1X030,Choctaw Stone,Neoperla choctaw,,y,5,4,4,6,G4,S3S4,,,,N,PFBC,a,IIPLE
IIPLE1V010,Striped Stone,Perlinella drymo,,y,6,6,3,6,G5,S3S4,,,,N,PFBC,a,IIPLE
IIHEMN2010,Fringetree Lace Bug,Leptoypha mutica,,y,,6,2,6,GNR,,,,,,,t,inv_trubug
ARACF14130,Eastern Fence Lizard,Sceloporus undulatus,,y,6,4,4,6,G5,S3,,,,Y,PFBC,t,ARAC
ARACH01011,Northern Coal Skink,Plestiodon anthracinus anthracinus,,y,4,3,4,6,G5T5,S3,,,,Y,PFBC,t,ARAC
ARACH01080,Broadhead Skink,Plestiodon laticeps,,y,6,5,3,6,G5,S2,,PC,CR,Y,PFBC,t,ARAC
AMAFB07047,Eastern Fox Squirrel,Sciurus niger vulpinus,,y,3,5,3,6,G5T4T5,S2,,,CR,N,PGC,t,AM
AMAFB09020,Northern Flying Squirrel,Glaucomys sabrinus,,y,4,6,2,6,G5,S1,,PE,,Y,PGC,t,AM
AMAFF11090,Rock Vole,Microtus chrotorrhinus,,y,5,4,4,6,G4,S3,,,CA,N,PGC,t,AM
AMAFF08100,Allegheny Woodrat,Neotoma magister,,y,2,5,3,6,G3G4,S2,,PT,PT,N,PGC,t,AM
AMAFF03042,Praire Deer Mouse,Peromyscus maniculatus bairdii,,y,6,2,4,5,G5T5,S3S4,,,,N,PGC,t,AM
AMAEB01090,Appalachian Cottontail,Sylvilagus obscurus,,y,3,5,2,3,G4,S1S2,,,,Y,PGC,t,AM
AMABA04010,North American Least Shrew,Cryptotis parva,,y,4,5,2,6,G5,S1,,PE,PE,Y,PGC,t,AM
AMABA01210,Long-tailed Shrew,Sorex dispar,,y,3,2,4,5,G4,S4,,,,N,PGC,t,AM
AMABA01153,Northern Water Shrew,Sorex palustris albibarbis,,y,4,1,4,6,G5T5,S3,,,CR,N,PGC,t,AM
AMABA01151,West Virginia Water Shrew,Sorex palustris punctulatus,,y,2,5,3,6,G5T3,S2,,PT,PT,N,PGC,t,AM
AMABA01270,Maryland Shrew,Sorex cinereus fontinalis,,y,3,5,6,6,G4Q,S5,,,,N,PGC,t,AM
AMACC04010,Big Brown Bat,Eptesicus fuscus,,b,4,5,3,4,G5,S2S3,,,,N,PGC,t,AM
AMACC03020,Tricolored Bat,Perimyotis subflavus,,w,2,5,2,6,G5,S1,,,,N,PGC,s,AM
AMACC01150,Northern Long-eared Bat,Myotis septentrionalis,,y,1,5,2,6,G4,S1,LT,,CR,Y,PGC,t,AM
AMACC01130,Eastern Small-footed Bat,Myotis leibii,,y,2,5,3,6,G3,S2,,PT,PT,N,PGC,t,AM
AMACC01100,Indiana Bat,Myotis sodalis,,w,2,6,3,6,G2,S1,LE,PE,PE,Y,PGC,t,AM
AMACC01010,Little Brown Bat,Myotis lucifugus,,w,2,5,2,6,G5,S1,,,,N,PGC,s,AM
AMACC02010,Silver-haired Bat,Lasionycteris noctivagans,,y,6,5,2,6,G5,S1,,,CR,N,PGC,t,AM
AMAJF05010,Eastern Spotted Skunk,Spilogale putorius,,y,3,6,4,6,G5,S2,,,PE,N,PGC,t,AM
AAAAC01011,Eastern Hellbender,Cryptobranchus alleganiensis alleganiensis,,y,2,5,3,4,G3G4T3T4,S2S3,,,,Y,PFBC,a,AAAA
AAAAE01040,Mudpuppy,Necturus maculosus,,y,6,3,4,6,G5,S3,,,,Y,PFBC,a,AAAA
AAAAD12390,Northern Ravine Salamander,Plethodon electromorphus,,y,6,6,3,5,G5,S2S3,,,,N,PFBC,t,AAAA
AAAAD13014,Eastern Mud Salamander,Pseudotriton montanus montanus,,y,6,6,3,6,G5T5,S1,,PE,PE,Y,PFBC,t,AAAA
AAAAA01050,Jefferson Salamander,Ambystoma jeffersonianum,,y,6,3,4,6,G4,S3,,,,Y,PFBC,t,AAAA
AAAAA01060,Blue-spotted Salamander,Ambystoma laterale,,y,4,5,2,6,G5,S1,,PE,PE,Y,PFBC,t,AAAA
AAAAA01100,Marbled Salamander,Ambystoma opacum,,y,6,3,4,6,G5,S3,,,,Y,PFBC,t,AAAA
AAAAD01010,Green Salamander,Aneides aeneus,,y,2,5,3,6,G3G4,S2,,PT,PT,Y,PFBC,t,AAAA
ARADB02011,Eastern Worm Snake,Carphophis amoenus amoenus,,y,6,6,3,6,G5T5,S2,,,,Y,PFBC,t,ARAD
ARADB06010,Kirtland's Snake,Clonophis kirtlandii,,y,3,5,2,6,G2,SH,,PE,PE,Y,PFBC,t,ARAD
ARADB17020,Eastern Hognose Snake,Heterodon platirhinos,,y,6,3,4,5,G5,S3S4,,,,Y,PFBC,t,ARAD
ARADB23010,Rough Green Snake,Opheodrys aestivus,,y,4,5,2,3,G5,S1S2,,PE,PE,Y,PFBC,t,ARAD
ARADB27040,Queen Snake,Regina septemvittata,,y,6,3,4,5,G5,S3S4,,,,Y,PFBC,a,ARAD
ARADB36120,Eastern Ribbonsnake,Thamnophis sauritus,,y,6,3,4,6,G5,S3,,,,Y,PFBC,t,ARAD
ARADB36010,Shorthead Garter Snake,Thamnophis brachystoma,,y,3,3,5,6,G4,S4,,,,Y,PFBC,t,ARAD
ARADB39023,Eastern Smooth Earth Snake,Virginia valeriae valeriae,,y,6,6,2,6,G5T5,S1,,,,Y,PFBC,t,ARAD
ARADB39022,Mountain Earth Snake,Virginia valeria pulchra,,y,2,3,4,6,G5T3T4,S3,,,,Y,PFBC,t,ARAD
ARADE01010,Copperhead,Agkistrodon contortrix,,y,6,3,4,5,G5,S3S4,,,,Y,PFBC,t,ARAD
ARADE02040,Timber Rattlesnake,Crotalus horridus,,y,3,1,4,5,G4,S3S4,,PC,DL,Y,PFBC,t,ARAD
ARADE03011,Eastern Massasauga,Sistrurus catenatus catenatus,,y,2,6,2,6,G3G4T3Q,S1,PT,PE,PE,Y,PFBC,t,ARAD
ARAAE01053,Eastern Mud Turtle,Kinosternon subrubrum subrubrum,,y,5,6,3,6,G5T5,S1,,PE,PE,Y,PFBC,t,ARAA
ARAAD02010,Spotted Turtle,Clemmys guttata,,y,4,2,3,5,G5,S3S4,,,,Y,PFBC,t,ARAA
ARAAD02020,Wood Turtle,Glyptemys insculpta,,y,2,1,4,5,G3,S3S4,,,,Y,PFBC,t,ARAA
ARAAD02040,Bog Turtle,Glyptemys muhlenbergii,,y,2,5,3,6,G3,S2,LT,PE,PE,Y,PFBC,t,ARAA
ARAAD04010,Blanding's Turtle,Emydoidea blandingii,,y,3,5,2,6,G4,S1,,PC,CR,Y,PFBC,t,ARAA
ARAAD07050,Eastern Redbelly Turtle,Pseudemys rubriventris,,y,4,5,3,4,G5,S2S3,,PT,PT,Y,PFBC,t,ARAA
ARAAD08012,Eastern Box Turtle,Terrapene carolina carolina,,y,4,1,3,5,G5T5,S3S4,,,,Y,PFBC,t,ARAA
AMACC04010,Big Brown Bat,Eptesicus fuscus,,w,4,5,3,4,G5,S2S3,,,,N,PGC,s,AM
AMACC01100,Indiana Bat,Myotis sodalis,,b,2,6,3,6,G2,S1,LE,PE,PE,Y,PGC,t,AM
AMACC01010,Little Brown Bat,Myotis lucifugus,,b,2,5,2,6,G5,S1,,,,N,PGC,t,AM
